Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
JCB,2001-09-25 00:00,0.0,2.5,94,2,270,53.3,25,200,0.3,38,0.4
JCB,2001-09-25 01:00,0.0,1.1,96,2,270,53.5,25,200,0.3,38,0.4
JCB,2001-09-25 02:00,0.0,-0.3,98,1,270,53.6,25,200,0.3,38,0.4
JCB,2001-09-25 03:00,0.0,-0.7,98,3,270,53.7,25,200,0.3,38,0.4
JCB,2001-09-25 04:00,0.0,-0.3,94,0,270,53.8,25,200,0.2,38,0.3
JCB,2001-09-25 05:00,0.0,1.8,82,2,270,54.4,25,200,0.3,38,0.4
JCB,2001-09-25 06:00,0.0,2.5,78,9,270,55.4,25,200,0.5,38,0.6
JCB,2001-09-25 07:00,0.0,2.1,80,5,270,56.2,25,200,0.4,38,0.6
JCB,2001-09-25 08:00,0.0,2.8,78,2,270,56.9,25,200,0.4,38,0.5
JCB,2001-09-25 09:00,0.0,4.9,78,6,270,57.8,25,200,0.5,38,0.7
JCB,2001-09-25 10:00,0.0,12.1,43,11,270,60.5,25,200,0.7,38,1.1
JCB,2001-09-25 11:00,0.0,16.9,33,18,270,64.1,25,200,1.3,38,3.0
JCB,2001-09-25 12:00,0.0,21.3,24,5,270,67.6,25,200,0.7,38,1.2
JCB,2001-09-25 13:00,0.0,23.3,14,4,270,71.4,29,206,0.8,43,1.7
JCB,2001-09-25 14:00,0.0,24.2,14,9,270,75.2,29,206,1.2,43,3.1
JCB,2001-09-25 15:00,0.0,25.1,14,12,270,78.8,29,206,1.8,43,5.0
JCB,2001-09-25 16:00,0.0,26.9,10,13,270,82.3,29,206,2.9,43,7.5
JCB,2001-09-25 17:00,0.0,27.3,10,7,270,85.0,29,206,3.0,43,7.9
JCB,2001-09-25 18:00,0.0,25.1,14,15,270,87.1,29,206,6.0,43,14.0
JCB,2001-09-25 19:00,0.0,22.1,20,6,270,88.1,29,206,4.4,43,11.0
JCB,2001-09-25 20:00,0.0,12.1,47,0,270,88.2,29,206,3.3,43,8.6
JCB,2001-09-25 21:00,0.0,8.8,57,0,270,88.1,29,206,3.3,43,8.5
JCB,2001-09-25 22:00,0.0,7.8,65,3,270,87.8,29,206,3.6,43,9.4
JCB,2001-09-25 23:00,0.0,7.1,67,3,270,87.6,29,206,3.5,43,9.0
JCB,2001-09-26 00:00,0.0,6.0,73,3,270,87.2,29,206,3.3,43,8.7
JCB,2001-09-26 01:00,0.0,5.7,73,2,270,86.9,29,206,3.0,43,8.0
JCB,2001-09-26 02:00,0.0,6.4,73,2,270,86.6,29,206,2.9,43,7.7
JCB,2001-09-26 03:00,0.0,7.1,67,3,270,86.4,29,206,3.0,43,7.9
JCB,2001-09-26 04:00,0.0,6.7,67,6,270,86.3,29,206,3.4,43,8.8
JCB,2001-09-26 05:00,0.0,16.9,35,35,270,86.9,29,206,16.0,43,28.5
JCB,2001-09-26 06:00,0.0,15.4,43,38,270,87.1,29,206,19.1,43,32.1
JCB,2001-09-26 07:00,0.0,14.3,41,28,270,87.2,29,206,11.8,43,23.1
JCB,2001-09-26 08:00,0.0,13.9,43,30,270,87.3,29,206,13.3,43,25.1
JCB,2001-09-26 09:00,0.0,13.9,41,19,270,87.5,29,206,7.8,43,17.0
JCB,2001-09-26 10:00,0.0,14.6,37,25,270,87.7,29,206,10.9,43,21.8
JCB,2001-09-26 11:00,0.0,14.3,41,21,270,87.8,29,206,9.0,43,19.0
JCB,2001-09-26 12:00,0.0,15.8,39,35,270,88.0,29,206,18.7,43,31.7
JCB,2001-09-26 13:00,0.0,16.5,35,28,270,88.3,31,211,13.7,45,26.4
JCB,2001-09-26 14:00,0.0,16.5,35,27,270,88.5,31,211,13.5,45,26.1
JCB,2001-09-26 15:00,0.0,15.8,37,18,270,88.6,31,211,8.7,45,19.1
JCB,2001-09-26 16:00,0.0,17.3,33,17,270,88.9,31,211,8.6,45,18.9
JCB,2001-09-26 17:00,0.0,17.7,31,21,270,89.2,31,211,11.0,45,22.6
JCB,2001-09-26 18:00,0.0,16.5,31,13,270,89.4,31,211,7.6,45,17.2
JCB,2001-09-26 19:00,0.0,13.9,37,11,270,89.4,31,211,6.9,45,16.0
JCB,2001-09-26 20:00,0.0,13.1,39,25,270,89.5,31,211,14.1,45,26.8
JCB,2001-09-26 21:00,0.0,11.7,45,19,270,89.4,31,211,10.3,45,21.5
JCB,2001-09-26 22:00,0.0,7.1,63,2,270,89.1,31,211,4.2,45,10.8
JCB,2001-09-26 23:00,0.0,11.7,41,10,270,89.1,31,211,6.3,45,14.9
JCB,2001-09-27 00:00,0.0,11.3,39,19,270,89.2,31,211,9.9,45,21.0
JCB,2001-09-27 01:00,0.0,11.7,37,22,270,89.2,31,211,11.7,45,23.5
JCB,2001-09-27 02:00,0.0,11.7,39,22,270,89.3,31,211,11.7,45,23.6
JCB,2001-09-27 03:00,0.0,9.9,55,34,270,89.0,31,211,20.5,45,34.6
JCB,2001-09-27 04:00,0.0,9.5,53,26,270,88.7,31,211,13.3,45,25.7
JCB,2001-09-27 05:00,0.0,9.2,45,21,270,88.7,31,211,10.3,45,21.5
JCB,2001-09-27 06:00,0.0,8.1,47,19,270,88.6,31,211,9.2,45,19.8
JCB,2001-09-27 07:00,0.0,7.4,47,13,270,88.6,31,211,6.7,45,15.7
JCB,2001-09-27 08:00,0.0,7.4,37,16,270,88.6,31,211,7.9,45,17.7
JCB,2001-09-27 09:00,0.0,9.5,31,12,270,88.7,31,211,6.5,45,15.4
JCB,2001-09-27 10:00,0.0,9.5,29,8,270,88.8,31,211,5.4,45,13.4
JCB,2001-09-27 11:00,0.0,11.0,25,14,270,89.1,31,211,7.6,45,17.3
JCB,2001-09-27 12:00,0.0,12.4,20,14,270,89.5,31,211,8.1,45,18.2
JCB,2001-09-27 13:00,0.0,12.1,22,15,270,89.9,33,214,8.9,47,19.9
JCB,2001-09-27 14:00,0.0,13.9,22,11,270,90.2,33,214,7.6,47,17.8
JCB,2001-09-27 15:00,0.0,13.9,22,15,270,90.4,33,214,9.7,47,21.2
JCB,2001-09-27 16:00,0.0,14.3,20,16,270,90.8,33,214,10.7,47,22.7
JCB,2001-09-27 17:00,0.0,13.9,22,12,270,91.0,33,214,9.0,47,20.0
JCB,2001-09-27 18:00,0.0,13.5,25,9,270,91.0,33,214,7.8,47,18.1
JCB,2001-09-27 19:00,0.0,11.0,33,1,270,91.0,33,214,5.2,47,13.3
JCB,2001-09-27 20:00,0.0,7.1,49,0,270,90.9,33,214,4.9,47,12.6
JCB,2001-09-27 21:00,0.0,5.3,57,0,270,90.6,33,214,4.7,47,12.2
JCB,2001-09-27 22:00,0.0,3.2,69,0,270,90.3,33,214,4.4,47,11.7
JCB,2001-09-27 23:00,0.0,1.1,78,0,270,89.8,33,214,4.2,47,11.1
JCB,2001-09-28 00:00,0.0,0.0,84,0,270,89.2,33,214,3.8,47,10.4
JCB,2001-09-28 01:00,0.0,-1.0,88,0,270,88.6,33,214,3.5,47,9.7
JCB,2001-09-28 02:00,0.0,-0.7,88,0,270,88.1,33,214,3.3,47,9.0
JCB,2001-09-28 03:00,0.0,-2.1,92,0,270,87.5,33,214,3.0,47,8.4
JCB,2001-09-28 04:00,0.0,-2.1,88,0,270,87.0,33,214,2.8,47,7.9
JCB,2001-09-28 05:00,0.0,-2.4,88,0,270,86.5,33,214,2.6,47,7.4
JCB,2001-09-28 06:00,0.0,0.7,78,10,270,86.1,33,214,4.1,47,10.9
JCB,2001-09-28 07:00,0.0,-2.1,90,4,270,85.5,33,214,2.8,47,7.8
JCB,2001-09-28 08:00,0.0,1.8,76,10,270,85.2,33,214,3.6,47,9.8
JCB,2001-09-28 09:00,0.0,1.8,78,9,270,84.9,33,214,3.3,47,9.0
JCB,2001-09-28 10:00,0.0,5.3,69,15,270,84.8,33,214,4.3,47,11.5
JCB,2001-09-28 11:00,0.0,7.8,63,8,270,84.8,33,214,3.1,47,8.6
JCB,2001-09-28 12:00,0.0,12.4,41,12,270,85.2,33,214,4.0,47,10.6
JCB,2001-09-28 13:00,0.0,13.9,31,6,270,85.7,34,219,3.2,49,9.0
JCB,2001-09-28 14:00,0.0,13.1,31,15,270,86.3,34,219,5.4,49,13.9
JCB,2001-09-28 15:00,0.0,14.3,27,14,270,86.9,34,219,5.6,49,14.4
JCB,2001-09-28 16:00,0.0,13.5,27,18,270,87.5,34,219,7.4,49,17.7
JCB,2001-09-28 17:00,0.0,13.5,25,15,270,88.0,34,219,6.8,49,16.8
JCB,2001-09-28 18:00,0.0,13.9,25,16,270,88.5,34,219,7.7,49,18.3
JCB,2001-09-28 19:00,0.0,10.6,29,6,270,88.6,34,219,4.8,49,12.7
JCB,2001-09-28 20:00,0.0,4.6,51,0,270,88.6,34,219,3.5,49,9.9
JCB,2001-09-28 21:00,0.0,1.1,65,1,270,88.3,34,219,3.5,49,10.0
JCB,2001-09-28 22:00,0.0,-1.4,75,0,270,88.0,34,219,3.2,49,9.2
JCB,2001-09-28 23:00,0.0,-3.1,82,1,270,87.5,34,219,3.2,49,9.1
JCB,2001-09-29 00:00,0.0,-2.8,80,4,270,87.1,34,219,3.5,49,9.8
JCB,2001-09-29 01:00,0.0,-4.6,84,0,270,86.7,34,219,2.7,49,7.8
JCB,2001-09-29 02:00,0.0,-4.6,90,0,270,86.3,34,219,2.5,49,7.4
JCB,2001-09-29 03:00,0.0,-5.3,90,2,270,85.7,34,219,2.6,49,7.6
JCB,2001-09-29 04:00,0.0,-6.4,92,0,270,85.3,34,219,2.2,49,6.5
JCB,2001-09-29 05:00,0.0,-6.4,90,0,270,84.9,34,219,2.1,49,6.2
JCB,2001-09-29 06:00,0.0,-6.8,96,1,270,84.3,34,219,2.0,49,6.1
JCB,2001-09-29 07:00,0.0,-7.1,98,4,270,83.6,34,219,2.1,49,6.4
JCB,2001-09-29 08:00,0.0,-7.9,98,7,270,82.9,34,219,2.3,49,6.7
JCB,2001-09-29 09:00,0.0,-3.5,92,4,270,82.5,34,219,1.8,49,5.5
JCB,2001-09-29 10:00,0.0,2.8,67,3,270,82.5,34,219,1.8,49,5.3
JCB,2001-09-29 11:00,0.0,10.2,39,4,270,83.0,34,219,2.0,49,5.9
JCB,2001-09-29 12:00,0.0,13.5,29,18,270,84.0,34,219,4.6,49,12.2
JCB,2001-09-29 13:00,0.0,13.5,31,22,270,84.8,36,223,6.2,52,16.0
JCB,2001-09-29 14:00,0.0,15.0,29,13,270,85.6,36,223,4.4,52,12.2
JCB,2001-09-29 15:00,0.0,15.4,27,17,270,86.4,36,223,6.0,52,15.6
JCB,2001-09-29 16:00,0.0,16.1,25,21,270,87.2,36,223,8.3,52,19.7
JCB,2001-09-29 17:00,0.0,15.4,27,16,270,87.8,36,223,7.0,52,17.4
JCB,2001-09-29 18:00,0.0,14.6,27,15,270,88.2,36,223,7.1,52,17.6
JCB,2001-09-29 19:00,0.0,13.5,29,19,270,88.6,36,223,9.1,52,21.1
JCB,2001-09-29 20:00,0.0,13.1,31,21,270,88.8,36,223,10.4,52,23.1
JCB,2001-09-29 21:00,0.0,12.4,31,22,270,88.9,36,223,11.1,52,24.4
JCB,2001-09-29 22:00,0.0,11.0,33,12,270,89.0,36,223,6.8,52,17.0
JCB,2001-09-29 23:00,0.0,6.0,49,5,270,88.9,36,223,4.7,52,12.8
JCB,2001-09-30 00:00,0.0,4.6,55,5,270,88.7,36,223,4.6,52,12.6
JCB,2001-09-30 01:00,0.0,0.4,67,6,270,88.3,36,223,4.6,52,12.5
JCB,2001-09-30 02:00,0.0,-0.3,73,3,270,87.9,36,223,3.7,52,10.6
JCB,2001-09-30 03:00,0.0,-1.4,78,1,270,87.5,36,223,3.2,52,9.3
JCB,2001-09-30 04:00,0.0,-2.8,84,1,270,87.1,36,223,3.0,52,8.8
JCB,2001-09-30 05:00,0.0,-3.8,84,1,270,86.6,36,223,2.8,52,8.3
JCB,2001-09-30 06:00,0.0,-4.6,92,1,270,86.0,36,223,2.6,52,7.7
JCB,2001-09-30 07:00,0.0,-5.3,86,6,270,85.5,36,223,3.1,52,9.1
JCB,2001-09-30 08:00,0.0,-5.7,92,3,270,85.0,36,223,2.4,52,7.4
JCB,2001-09-30 09:00,0.0,-2.8,90,2,270,84.5,36,223,2.2,52,6.7
JCB,2001-09-30 10:00,0.0,3.5,65,0,270,84.5,36,223,2.0,52,6.1
JCB,2001-09-30 11:00,0.0,9.2,43,10,270,84.8,36,223,3.4,52,9.8
JCB,2001-09-30 12:00,0.0,14.3,33,9,270,85.4,36,223,3.5,52,10.1
JCB,2001-09-30 13:00,0.0,17.3,16,16,270,86.7,39,228,6.0,55,16.0
JCB,2001-09-30 14:00,0.0,19.3,14,15,270,88.0,39,228,6.9,55,17.8
JCB,2001-09-30 15:00,0.0,20.5,10,12,270,89.4,39,228,7.2,55,18.4
JCB,2001-09-30 16:00,0.0,20.1,8,19,270,90.7,39,228,12.4,55,27.0
JCB,2001-09-30 17:00,0.0,19.7,10,17,270,91.7,39,228,12.9,55,27.7
JCB,2001-09-30 18:00,0.0,18.9,10,15,270,92.4,39,228,12.9,55,27.8
JCB,2001-09-30 19:00,0.0,15.0,16,13,270,92.6,39,228,12.0,55,26.5
JCB,2001-09-30 20:00,0.0,10.2,25,10,270,92.6,39,228,10.3,55,23.8
JCB,2001-09-30 21:00,0.0,6.0,33,1,270,92.6,39,228,6.5,55,17.0
JCB,2001-09-30 22:00,0.0,1.8,47,2,270,92.3,39,228,6.6,55,17.1
JCB,2001-09-30 23:00,0.0,0.0,59,2,270,91.8,39,228,6.2,55,16.4
JCB,2001-10-01 00:00,0.0,-1.0,69,1,270,91.3,39,228,5.5,55,14.9
JCB,2001-10-01 01:00,0.0,-2.4,75,0,270,90.9,39,228,4.9,55,13.6
JCB,2001-10-01 02:00,0.0,-3.8,78,1,270,90.3,39,228,4.7,55,13.3
JCB,2001-10-01 03:00,0.0,-3.8,75,0,270,89.9,39,228,4.2,55,12.3
JCB,2001-10-01 04:00,0.0,-3.8,73,0,270,89.6,39,228,4.0,55,11.8
JCB,2001-10-01 05:00,0.0,-4.6,78,0,270,89.2,39,228,3.8,55,11.2
JCB,2001-10-01 06:00,0.0,-3.5,78,0,270,88.8,39,228,3.6,55,10.8
JCB,2001-10-01 07:00,0.0,-3.8,76,0,270,88.5,39,228,3.4,55,10.3
JCB,2001-10-01 08:00,0.0,-3.8,80,0,270,88.1,39,228,3.3,55,9.9
JCB,2001-10-01 09:00,0.0,-2.4,76,2,270,87.7,39,228,3.4,55,10.3
JCB,2001-10-01 10:00,0.0,2.8,55,9,270,87.6,39,228,4.8,55,13.4
JCB,2001-10-01 11:00,0.0,6.4,47,7,270,87.6,39,228,4.3,55,12.4
JCB,2001-10-01 12:00,0.0,9.5,39,3,270,87.6,39,228,3.6,55,10.6
JCB,2001-10-01 13:00,0.0,12.8,33,4,270,87.9,40,231,3.9,56,11.5
JCB,2001-10-01 14:00,0.0,13.9,33,12,270,88.1,40,231,6.0,56,16.2
JCB,2001-10-01 15:00,0.0,10.6,41,15,270,88.1,40,231,7.0,56,18.2
JCB,2001-10-01 16:00,0.0,7.1,43,13,270,88.2,40,231,6.4,56,17.0
JCB,2001-10-01 17:00,0.0,6.7,45,12,270,88.2,40,231,6.0,56,16.4
JCB,2001-10-01 18:00,1.0,1.4,94,2,270,66.4,40,231,0.6,56,1.5
JCB,2001-10-01 19:00,1.0,0.4,100,2,270,50.9,40,231,0.2,56,0.4
JCB,2001-10-01 20:00,0.3,0.0,100,0,270,47.8,40,231,0.1,56,0.2
JCB,2001-10-01 21:00,0.3,0.4,100,12,270,45.0,40,231,0.2,56,0.3
JCB,2001-10-01 22:00,0.5,1.1,98,1,270,39.9,40,231,0.0,56,0.1
JCB,2001-10-01 23:00,0.0,0.0,98,0,270,40.0,40,231,0.0,56,0.1
JCB,2001-10-02 00:00,0.0,-0.7,100,11,270,40.0,40,231,0.1,56,0.1
JCB,2001-10-02 01:00,0.0,-0.7,100,14,270,40.0,40,231,0.1,56,0.1
JCB,2001-10-02 02:00,0.0,-1.0,100,13,270,40.1,40,231,0.1,56,0.1
JCB,2001-10-02 03:00,0.0,-1.4,100,4,270,40.1,40,231,0.0,56,0.1
JCB,2001-10-02 04:00,0.0,-1.0,100,11,270,40.1,40,231,0.1,56,0.1
JCB,2001-10-02 05:00,0.0,-1.4,100,10,270,40.2,40,231,0.1,56,0.1
JCB,2001-10-02 06:00,0.0,-2.1,100,6,270,40.2,40,231,0.0,56,0.1
JCB,2001-10-02 07:00,0.0,-1.7,100,13,270,40.2,40,231,0.1,56,0.1
JCB,2001-10-02 08:00,0.0,-1.4,98,8,270,40.4,40,231,0.1,56,0.1
JCB,2001-10-02 09:00,0.0,-0.7,98,7,270,40.5,40,231,0.1,56,0.1
JCB,2001-10-02 10:00,0.0,0.0,94,14,270,41.0,40,231,0.1,56,0.2
JCB,2001-10-02 11:00,0.5,2.1,88,20,270,37.5,40,231,0.1,56,0.1
JCB,2001-10-02 12:00,0.0,3.5,90,14,270,38.5,40,231,0.1,56,0.1
JCB,2001-10-02 13:00,0.0,8.1,73,13,270,40.6,31,227,0.1,46,0.1
JCB,2001-10-02 14:00,0.0,9.9,53,14,270,43.8,31,227,0.1,46,0.2
JCB,2001-10-02 15:00,0.0,11.7,37,8,270,47.2,31,227,0.2,46,0.3
JCB,2001-10-02 16:00,0.0,13.1,29,6,270,50.7,31,227,0.2,46,0.4
JCB,2001-10-02 17:00,0.0,13.1,31,12,270,54.4,31,227,0.5,46,0.8
JCB,2001-10-02 18:00,0.0,12.1,33,9,270,57.5,31,227,0.5,46,0.9
JCB,2001-10-02 19:00,0.0,4.6,67,6,270,58.7,31,227,0.5,46,0.8
JCB,2001-10-02 20:00,0.0,0.7,88,4,270,59.1,31,227,0.5,46,0.7
JCB,2001-10-02 21:00,0.0,-1.4,94,0,270,59.2,31,227,0.4,46,0.6
JCB,2001-10-02 22:00,0.0,-3.1,94,1,270,59.3,31,227,0.4,46,0.7
JCB,2001-10-02 23:00,0.0,-3.5,94,5,270,59.5,31,227,0.5,46,0.8
JCB,2001-10-03 00:00,0.0,-3.8,94,2,270,59.6,31,227,0.4,46,0.7
JCB,2001-10-03 01:00,0.0,-4.6,94,0,270,59.7,31,227,0.4,46,0.6
JCB,2001-10-03 02:00,0.0,-5.7,98,2,270,59.8,31,227,0.4,46,0.7
JCB,2001-10-03 03:00,0.0,-4.6,80,1,270,60.2,31,227,0.4,46,0.7
JCB,2001-10-03 04:00,0.0,-5.7,92,1,270,60.3,31,227,0.4,46,0.7
JCB,2001-10-03 05:00,0.0,-6.0,98,1,270,60.4,31,227,0.4,46,0.7
JCB,2001-10-03 06:00,0.0,-7.5,98,0,270,60.5,31,227,0.4,46,0.7
JCB,2001-10-03 07:00,0.0,-7.9,98,0,270,60.5,31,227,0.4,46,0.7
JCB,2001-10-03 08:00,0.0,-9.8,98,0,270,60.6,31,227,0.4,46,0.7
JCB,2001-10-03 09:00,0.0,-7.9,96,1,270,60.7,31,227,0.4,46,0.7
JCB,2001-10-03 10:00,0.0,-0.3,75,0,270,61.0,31,227,0.4,46,0.7
JCB,2001-10-03 11:00,0.0,3.5,47,3,270,62.4,31,227,0.5,46,0.9
JCB,2001-10-03 12:00,0.0,5.7,37,4,270,64.0,31,227,0.6,46,1.0
JCB,2001-10-03 13:00,0.0,7.1,33,5,270,65.8,31,229,0.7,47,1.5
JCB,2001-10-03 14:00,0.0,8.8,29,6,270,67.8,31,229,0.8,47,1.9
JCB,2001-10-03 15:00,0.0,9.2,29,14,270,69.9,31,229,1.3,47,3.5
JCB,2001-10-03 16:00,0.0,9.9,27,14,270,72.0,31,229,1.4,47,3.8
JCB,2001-10-03 17:00,0.0,9.2,29,16,270,73.8,31,229,1.6,47,4.6
JCB,2001-10-03 18:00,0.0,8.1,33,12,270,75.2,31,229,1.4,47,4.0
JCB,2001-10-03 19:00,0.0,5.7,39,6,270,76.1,31,229,1.1,47,3.0
JCB,2001-10-03 20:00,0.0,-0.3,69,0,270,76.3,31,229,0.8,47,2.0
JCB,2001-10-03 21:00,0.0,-1.4,71,0,270,76.4,31,229,0.8,47,2.1
JCB,2001-10-03 22:00,0.0,0.7,61,1,270,76.7,31,229,0.9,47,2.3
