infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 1, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 51, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 52, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 380, NonBurnable, 0, StillAvailableCells, 20, SimYears, 1, fireperiods1, 173
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 53, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 54, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 55, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 56, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 57, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 58, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 59, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 60, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 61, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 62, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 63, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 64, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 65, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 66, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 67, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 68, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 69, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 70, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 71, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 72, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 73, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 74, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 75, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 76, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 77, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 5, NonBurnable, 0, StillAvailableCells, 395, SimYears, 1, fireperiods1, 8
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 78, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 79, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 11, NonBurnable, 0, StillAvailableCells, 389, SimYears, 1, fireperiods1, 17
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 80, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 81, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 82, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 83, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 84, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 85, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 86, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 17, NonBurnable, 0, StillAvailableCells, 383, SimYears, 1, fireperiods1, 24
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 87, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 88, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 89, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 90, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 91, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 92, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 93, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 94, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 95, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 96, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 5
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 97, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 3
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 98, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 99, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 4
infolder, /export/home/dlwoodruff/Documents/FireSimulator/Instances/400CellsDLW/nowindnoslope, ReplicateNum, 100, seed, 7734, ROSCV, 0.13, MeanBurnout, 3, CellArea, 1000000.0, NCells, 400, Burntcells, 1, NonBurnable, 0, StillAvailableCells, 399, SimYears, 1, fireperiods1, 2
